"Timestamp","Total score","Do you play any sports?","Do you play any sports? [Score]","Do you play any sports? [Feedback]","Do you watch sports?","Do you watch sports? [Score]","Do you watch sports? [Feedback]"
"2026/03/17 3:08:47 PM AST","0.00 / 0","Yes","-- / 0","","Yes","-- / 0",""
"2026/03/17 3:09:28 PM AST","0.00 / 0","Yes","-- / 0","","Yes","-- / 0",""
"2026/03/17 3:11:30 PM AST","0.00 / 0","Yes","-- / 0","","Yes","-- / 0",""
"2026/03/17 3:30:32 PM AST","0.00 / 0","Yes","-- / 0","","No","-- / 0",""
"2026/03/17 8:03:40 PM AST","0.00 / 0","Yes","-- / 0","","Yes","-- / 0",""
"2026/03/17 8:41:57 PM AST","0.00 / 0","No","-- / 0","","No","-- / 0",""
"2026/03/19 1:24:31 PM AST","0.00 / 0","Yes","-- / 0","","No","-- / 0",""
"2026/03/19 1:46:19 PM AST","0.00 / 0","Yes","-- / 0","","Yes","-- / 0",""
"2026/03/19 1:57:47 PM AST","0.00 / 0","Yes","-- / 0","","Yes","-- / 0",""
"2026/03/19 2:06:35 PM AST","0.00 / 0","Yes","-- / 0","","Yes","-- / 0",""
"2026/03/19 2:15:42 PM AST","0.00 / 0","Yes","-- / 0","","Yes","-- / 0",""
"2026/03/19 2:17:04 PM AST","0.00 / 0","Yes","-- / 0","","Yes","-- / 0",""
"2026/03/24 2:42:30 PM AST","0.00 / 0","Yes","-- / 0","","Yes","-- / 0",""
"2026/03/24 2:49:39 PM AST","0.00 / 0","Yes","-- / 0","","Yes","-- / 0",""
"2026/03/24 2:58:04 PM AST","0.00 / 0","Yes","-- / 0","","Yes","-- / 0",""
